PairID,Algorithm,X,Y,Z
1,RRT,0.273431,-0.440312,0.332564
1,RRT,0.265857,-0.429655,0.340287
1,RRT,0.258585,-0.418958,0.348106
1,RRT,0.251617,-0.408231,0.356018
1,RRT,0.244952,-0.397481,0.364017
1,RRT,0.23859,-0.386717,0.3721
1,RRT,0.232532,-0.375948,0.380264
1,RRT,0.226776,-0.365182,0.388504
1,RRT,0.221322,-0.354427,0.396817
1,RRT,0.216168,-0.343691,0.405197
1,RRT,0.211315,-0.332982,0.413642
1,RRT,0.206759,-0.322309,0.422146
1,RRT,0.202499,-0.31168,0.430707
1,RRT,0.198534,-0.301102,0.439319
1,RRT,0.19486,-0.290583,0.447978
1,RRT,0.191475,-0.280131,0.456681
1,RRT,0.188377,-0.269753,0.465423
1,RRT,0.185562,-0.259457,0.4742
1,RRT,0.183027,-0.249249,0.483007
1,RRT,0.180768,-0.239138,0.49184
1,RRT,0.178782,-0.229129,0.500695
1,RRT,0.177065,-0.21923,0.509568
1,RRT,0.175612,-0.209448,0.518454
1,RRT,0.17442,-0.199788,0.527349
1,RRT,0.173484,-0.190258,0.536249
1,RRT,0.172798,-0.180862,0.54515
1,RRT,0.172358,-0.171608,0.554047
1,RRT,0.172159,-0.162501,0.562936
1,RRT,0.172195,-0.153546,0.571812
1,RRT,0.172462,-0.144748,0.580672
1,RRT,0.172952,-0.136113,0.589512
1,RRT,0.173661,-0.127646,0.598327
1,RRT,0.174583,-0.119352,0.607112
1,RRT,0.175711,-0.111234,0.615865
1,RRT,0.17704,-0.103297,0.62458
1,RRT,0.178562,-0.0955449,0.633253
1,RRT,0.180272,-0.0879817,0.641882
1,RRT,0.182162,-0.0806108,0.650461
1,RRT,0.184227,-0.0734355,0.658986
1,RRT,0.186459,-0.0664588,0.667454
1,RRT,0.188851,-0.0596836,0.675861
1,RRT,0.191398,-0.0531124,0.684203
1,RRT,0.194091,-0.0467476,0.692476
1,RRT,0.196923,-0.0405912,0.700676
1,RRT,0.199888,-0.0346451,0.7088
1,RRT,0.202978,-0.0289108,0.716843
1,RRT,0.206186,-0.0233896,0.724803
1,RRT,0.209506,-0.0180828,0.732676
1,RRT,0.212928,-0.0129911,0.740458
1,RRT,0.216448,-0.00811504,0.748146
1,RRT,0.220056,-0.00345505,0.755737
1,RRT,0.223746,0.000988799,0.763226
1,RRT,0.227511,0.00521665,0.770612
1,RRT,0.231343,0.00922889,0.77789
1,RRT,0.235236,0.0130262,0.785058
1,RRT,0.239182,0.0166093,0.792113
1,RRT,0.243173,0.0199795,0.799051
1,RRT,0.247204,0.023138,0.80587
1,RRT,0.251266,0.0260865,0.812567
1,RRT,0.255354,0.0288266,0.81914
1,RRT,0.25946,0.0313606,0.825584
1,RRT,0.263577,0.0336905,0.831899
1,RRT,0.267698,0.035819,0.838081
1,RRT,0.271818,0.0377486,0.844128
1,RRT,0.27593,0.0394822,0.850037
1,RRT,0.280026,0.0410231,0.855807
1,RRT,0.284102,0.0423744,0.861435
1,RRT,0.288151,0.0435396,0.86692
1,RRT,0.292166,0.0445226,0.872258
1,RRT,0.296142,0.0453271,0.877448
1,RRT,0.300074,0.0459571,0.882489
1,RRT,0.303955,0.0464171,0.887378
1,RRT,0.30778,0.0467112,0.892114
1,RRT,0.311544,0.0468442,0.896696
1,RRT,0.315242,0.0468208,0.901121
1,RRT,0.318869,0.0466457,0.905389
1,RRT,0.32242,0.0463241,0.909497
1,RRT,0.32589,0.0458611,0.913446
1,RRT,0.329275,0.045262,0.917234
1,RRT,0.33257,0.0445323,0.920859
1,RRT,0.335773,0.0436774,0.924321
1,RRT,0.338878,0.0427031,0.927619
1,RRT,0.341881,0.0416151,0.930752
1,RRT,0.344781,0.0404192,0.93372
1,RRT,0.347573,0.0391215,0.936521
1,RRT,0.350253,0.0377278,0.939156
1,RRT,0.35282,0.0362445,0.941625
1,RRT,0.355271,0.0346776,0.943926
1,RRT,0.357602,0.0330333,0.946059
1,RRT,0.359656,0.0314448,0.947888
1,RRT,0.36131,0.0300577,0.949322
1,RRT,0.362606,0.0288964,0.950418
1,RRT,0.363576,0.0279787,0.951221
1,RRT,0.364247,0.0273171,0.951768
1,RRT,0.36464,0.0269198,0.952084
1,RRT,0.364765,0.0267914,0.952184
1,RRT*,1.5539,-0.045242,0.628862
1,RRT*,1.55418,-0.0451313,0.629584
1,RRT*,1.55501,-0.0447987,0.631757
1,RRT*,1.55637,-0.0442432,0.635394
1,RRT*,1.55824,-0.0434628,0.640516
1,RRT*,1.56054,-0.0424614,0.647111
1,RRT*,1.56289,-0.04139,0.654192
1,RRT*,1.56513,-0.0403123,0.661338
1,RRT*,1.56725,-0.0392282,0.668549
1,RRT*,1.56927,-0.0381373,0.675824
1,RRT*,1.57117,-0.0370395,0.683161
1,RRT*,1.57296,-0.0359344,0.69056
1,RRT*,1.57462,-0.034822,0.69802
1,RRT*,1.57617,-0.0337019,0.70554
1,RRT*,1.5776,-0.032574,0.713117
1,RRT*,1.5789,-0.0314379,0.720752
1,RRT*,1.58007,-0.0302935,0.728443
1,RRT*,1.58112,-0.0291405,0.736187
1,RRT*,1.58203,-0.0279788,0.743985
1,RRT*,1.58281,-0.026808,0.751833
