PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
61,RRT*,5061,19053,0.00379475,5.2202
62,RRT,75,23059,0.00219857,4.25433
62,RRT*,5053,26216,0.00242577,4.28653
63,RRT,136,19587,0.00325937,8.50026
63,RRT*,5077,38206,0.00428221,6.25832
64,RRT,73,14877,0.00323158,5.49732
64,RRT*,5055,23609,0.00590757,3.92392
65,RRT,60,20588,0.00700705,5.85916
65,RRT*,5059,23906,0.00296371,4.59867
66,RRT,74,18732,0.00699885,4.1714
66,RRT*,5047,24964,0.00651478,4.09347
67,RRT,96,25953,0.00305614,7.53756
67,RRT*,5033,15795,0.00661524,1.80098
68,RRT,68,24944,0.00263162,6.16863
68,RRT*,5039,19757,0.00787778,4.12001
69,RRT,538,23065,0.00457106,7.00497
69,RRT*,5067,12499,0.0161019,2.10927
70,RRT,78,19680,0.00316316,5.39193
70,RRT*,5020,8840,0.024081,1.1116
71,RRT,81,15914,0.00303404,6.31865
71,RRT*,5040,20856,0.00840043,4.13228
72,RRT,100,24690,0.00255213,5.96653
72,RRT*,5051,7591,0.00791756,4.1776
73,RRT,74,18040,0.00205102,4.266
73,RRT*,5045,26913,0.0044638,4.20899
74,RRT,76,23238,0.0110621,5.53846
74,RRT*,5028,12190,0.0153808,2.14166
75,RRT,137,27071,0.00282544,7.2957
75,RRT*,5024,5086,0.0338029,0.794632
76,RRT,107,138,0.00254859,6.20253
76,RRT*,5075,5057,0.00214397,5.37908
77,RRT,144,60,0.00334951,8.57754
77,RRT*,5049,5050,0.0129187,4.39186
78,RRT,57,98,0.00562832,3.70493
78,RRT*,5056,5051,0.00529956,4.25197
79,RRT,70,77,0.00366911,6.47043
79,RRT*,5051,5057,0.00545179,3.92408
80,RRT,97,134,0.00489769,8.12859
80,RRT*,5078,5083,0.00213033,5.63146
81,RRT,82,83,0.00514845,5.29792
81,RRT*,5045,5046,0.010331,4.3645
82,RRT,67,95,0.00746592,4.44452
82,RRT*,5050,5056,0.00735383,4.43103
83,RRT,107,109,0.00594224,5.23277
83,RRT*,5055,5041,0.00495704,4.36652
84,RRT,101,85,0.00215575,7.91081
84,RRT*,5054,5051,0.0048775,4.34456
85,RRT,89,22834,0.0052694,7.07767
85,RRT*,5042,17550,0.00442468,3.10668
86,RRT,89,15561,0.00394564,4.5836
86,RRT*,5062,20594,0.00314038,5.07986
87,RRT,127,24279,0.00291397,7.63058
87,RRT*,5048,20998,0.00489324,4.20847
88,RRT,100,18575,0.00342359,4.25757
88,RRT*,5031,10392,0.0074339,2.58166
89,RRT,81,17928,0.00745943,5.5057
89,RRT*,5043,15948,0.0057382,3.53069
90,RRT,138,22030,0.00285169,6.86698
90,RRT*,5040,20260,0.00412009,3.54503
91,RRT,37,14320,0.01027,2.06872
91,RRT*,5047,15395,0.00600394,2.26794
92,RRT,77,15722,0.00449705,5.83318
92,RRT*,5042,28763,0.010539,4.11476
93,RRT,97,19830,0.00420162,6.05543
93,RRT*,5053,18431,0.00903915,4.17648
94,RRT,112,21271,0.00355903,7.27372
94,RRT*,5073,22369,0.00284698,5.02206
95,RRT,93,15035,0.00219252,6.94726
95,RRT*,5037,20122,0.00738833,3.9236
96,RRT,66,12317,0.00915803,3.24032
96,RRT*,5031,20564,0.0176051,1.80618
97,RRT,84,20610,0.00647465,8.09452
97,RRT*,5054,27674,0.0038683,4.12351
98,RRT,92,14882,0.00491925,4.33361
98,RRT*,5034,19805,0.00577296,4.23133
99,RRT,82,22683,0.00547521,6.17792
99,RRT*,5053,27528,0.00549304,4.15706
100,RRT,63,24276,0.00499638,3.92235
100,RRT*,5045,25567,0.00332862,5.07755
101,RRT,118,24661,0.00308591,7.10539
101,RRT*,5050,21802,0.00496632,3.82443
102,RRT,73,22134,0.00525393,6.04568
102,RRT*,5061,22799,0.0054453,4.85746
103,RRT,108,22653,0.00405816,8.27994
103,RRT*,5039,25416,0.00553596,3.67792
104,RRT,93,15784,0.00215618,6.18332
104,RRT*,5036,9294,0.0293086,1.04915
105,RRT,97,21099,0.00243698,6.27193
105,RRT*,5043,25468,0.00643857,3.11225
106,RRT,110,31856,0.00299771,6.40159
106,RRT*,5052,7081,0.00749675,2.43999
107,RRT,106,17128,0.00334824,6.30882
107,RRT*,5078,22007,0.00322924,4.96657
108,RRT,89,20908,0.00285417,5.19404
108,RRT*,5057,19807,0.00533179,3.67188
109,RRT,103,19233,0.00304736,7.99164
109,RRT*,5028,21849,0.0165983,1.5366
110,RRT,70,22828,0.00382343,6.84649
110,RRT*,5040,21257,0.00810042,3.62831
111,RRT,53,21633,0.00357874,5.23023
111,RRT*,5049,19714,0.00253235,4.76668
112,RRT,89,17859,0.00230408,5.39202
112,RRT*,5023,22663,0.020034,0.984953
113,RRT,85,16784,0.00474315,7.15466
113,RRT*,5041,30513,0.00864913,5.02422
114,RRT,98,22697,0.00557755,5.07226
114,RRT*,5050,25283,0.00517871,4.23577
115,RRT,69,22926,0.00447099,7.1215
115,RRT*,5026,17215,0.00999193,1.07962
116,RRT,83,19557,0.00261364,5.91672
116,RRT*,5036,14452,0.0121251,1.62212
117,RRT,63,24137,0.0076064,5.40508
117,RRT*,5043,18407,0.00483999,4.10731
118,RRT,59,18174,0.00266643,5.07768
118,RRT*,5025,12534,0.0112909,1.44043
119,RRT,106,35033,0.00375205,8.708
119,RRT*,5020,41572,0.0177787,1.58304
120,RRT,70,24318,0.00284951,5.18012
120,RRT*,5046,25675,0.00499347,4.00333
121,RRT,62,35399,0.00354676,5.30085
121,RRT*,5050,27281,0.00325263,3.79611
122,RRT,65,19910,0.0108377,4.81948
122,RRT*,5052,21707,0.00518822,5.09448
123,RRT,81,24165,0.00494645,6.77288
123,RRT*,5051,15641,0.00448645,4.71045
124,RRT,122,35983,0.00282666,7.7428
124,RRT*,5045,22568,0.00862899,4.32098
125,RRT,95,24678,0.00339187,5.22345
125,RRT*,5051,22906,0.00612899,5.03567
126,RRT,94,21829,0.00277225,6.77684
126,RRT*,5071,31770,0.00307594,5.08221
127,RRT,99,12177,0.00274413,5.54229
127,RRT*,5024,9287,0.0187954,1.50622
128,RRT,101,23334,0.00421344,6.08957
128,RRT*,5057,9290,0.00791684,2.89427
129,RRT,70,16766,0.00260383,5.26401
129,RRT*,5062,23360,0.00248704,4.68889
130,RRT,88,21292,0.00258309,5.10505
130,RRT*,5070,29538,0.00415112,6.47497
131,RRT,90,11612,0.0106363,5.08576
131,RRT*,5043,16553,0.0069943,3.75123
132,RRT,92,20322,0.0039184,6.95614
132,RRT*,5045,19451,0.0113056,3.38605
133,RRT,56,13985,0.00573017,4.55181
133,RRT*,5039,14156,0.0137044,2.1684
134,RRT,87,17978,0.00253943,6.91635
134,RRT*,5071,29273,0.0042055,4.7928
135,RRT,92,36571,0.00299499,9.02716
135,RRT*,5045,22872,0.0122118,1.44761
136,RRT,83,24794,0.00263379,5.37266
136,RRT*,5052,24350,0.005724,4.90107
137,RRT,52,25609,0.005981,2.47308
137,RRT*,5056,5042,0.00330204,4.44223
138,RRT,91,37,0.00401726,8.013
138,RRT*,5035,5041,0.00722766,1.99347
139,RRT,87,26605,0.00443894,6.54755
139,RRT*,5040,24309,0.00563219,3.82811
140,RRT,107,17267,0.00281206,7.26016
140,RRT*,5041,24717,0.00505865,3.92841
141,RRT,80,36465,0.00224317,4.91812
141,RRT*,5067,21396,0.0076752,4.37453
142,RRT,84,35461,0.00645309,5.53058
142,RRT*,5051,27359,0.00867723,4.12612
143,RRT,82,21444,0.00415003,4.55048
143,RRT*,5054,21456,0.00452179,4.42515
144,RRT,83,23665,0.00417436,5.3006
144,RRT*,5023,17905,0.0162507,1.4601
145,RRT,82,24884,0.00436414,6.46315
145,RRT*,5047,23056,0.00833022,4.60094
146,RRT,113,21697,0.00306206,7.11157
146,RRT*,5037,21407,0.00834608,2.50872
147,RRT,113,24509,0.00367937,7.65242
147,RRT*,5052,10093,0.00682984,5.04617
148,RRT,68,23521,0.0040746,4.96009
148,RRT*,5048,23865,0.00616488,4.33609
149,RRT,121,24708,0.00313473,5.4673
149,RRT*,5039,23211,0.00573057,3.95843
150,RRT,54,20144,0.00837796,3.93625
150,RRT*,5054,23254,0.00407468,4.94796
151,RRT,107,22700,0.00712645,7.89155
151,RRT*,5063,5023,0.00374061,4.04179
152,RRT,114,28503,0.00265128,7.23672
152,RRT*,5056,5058,0.00709851,3.90267
153,RRT,73,118,0.0135189,1.23483
153,RRT*,5058,5041,0.00369546,3.57975
154,RRT,91,75,0.00266126,5.77995
154,RRT*,5045,5042,0.00654523,3.77905
155,RRT,95,21950,0.00237931,7.22469
155,RRT*,5040,15135,0.00814795,1.60663
156,RRT,47,23494,0.00991671,3.29117
156,RRT*,5064,19599,0.00463749,5.17025
157,RRT,42,18435,0.00326204,3.87368
157,RRT*,5085,29482,0.00520526,7.11311
158,RRT,79,23375,0.00504681,6.22513
158,RRT*,5022,11638,0.016809,1.68921
159,RRT,67,27073,0.00285413,5.6874
159,RRT*,5050,21553,0.0123982,4.13872
160,RRT,65,28025,0.00770634,4.16223
160,RRT*,5070,27129,0.00273803,6.20532
161,RRT,92,35859,0.00434961,6.64167
161,RRT*,5042,23513,0.00559633,4.81072
162,RRT,71,28807,0.00451254,7.44668
162,RRT*,5042,44482,0.00379945,4.37892
163,RRT,108,24023,0.0026104,7.3163
163,RRT*,5077,26366,0.00273685,4.59598
164,RRT,92,21794,0.00254196,5.60364
164,RRT*,5045,24212,0.00275822,4.0655
165,RRT,76,16124,0.00706795,5.82301
165,RRT*,5024,13848,0.0111846,2.06128
166,RRT,96,21250,0.00303291,5.1093
