PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
61,RRT,98,26728,0.00458938,7.43103
61,RRT*,5059,24814,0.00272716,3.98664
62,RRT,100,39292,0.00827184,4.58596
62,RRT*,5059,21573,0.00451877,4.48528
63,RRT,101,7049,0.00358967,6.00774
63,RRT*,5042,11598,0.0148962,1.33673
64,RRT,95,20457,0.0150335,3.28694
64,RRT*,5078,27923,0.0024164,5.07101
65,RRT,63,22111,0.00464446,4.68048
65,RRT*,5059,28146,0.00986815,5.09688
66,RRT,117,14919,0.0142094,5.99512
66,RRT*,5066,27913,0.00512091,4.97835
67,RRT,101,21444,0.00382277,5.09159
67,RRT*,5063,25456,0.00391373,5.57058
68,RRT,94,34388,0.00621938,5.49446
68,RRT*,5065,29518,0.00498779,4.09303
69,RRT,77,28047,0.00678157,5.4938
69,RRT*,5062,24098,0.00730678,5.13045
70,RRT,99,20244,0.00259737,5.9299
70,RRT*,5063,23292,0.010605,5.03459
71,RRT,93,26950,0.00311179,6.01314
71,RRT*,5036,30745,0.0117341,4.18886
72,RRT,87,20348,0.00443387,6.6269
72,RRT*,5048,19809,0.0078883,4.24434
73,RRT,103,25545,0.0027347,7.36857
73,RRT*,5058,23622,0.00423958,4.90515
74,RRT,77,31513,0.0134031,5.2406
74,RRT*,5043,21415,0.00506293,4.24131
75,RRT,89,22825,0.00377255,4.07376
75,RRT*,5033,9990,0.0216524,1.67032
76,RRT,84,13363,0.00738122,6.15153
76,RRT*,5031,24061,0.00933421,2.96171
77,RRT,87,27408,0.00460035,5.67725
77,RRT*,5050,24350,0.00507044,3.56358
78,RRT,67,7105,0.00803872,5.03973
78,RRT*,5028,22758,0.00924989,2.84297
79,RRT,108,15445,0.00559775,3.94953
79,RRT*,5042,22463,0.00552094,3.75758
80,RRT,80,23648,0.00498684,5.24169
80,RRT*,5051,23103,0.00600872,4.06301
81,RRT,64,25383,0.00731674,6.03062
81,RRT*,5067,28329,0.00312947,5.58342
82,RRT,109,40599,0.0122875,6.33555
82,RRT*,5070,26972,0.00623555,4.56434
83,RRT,95,22720,0.00597841,5.96796
83,RRT*,5068,25371,0.00283237,4.45771
84,RRT,75,16394,0.00623958,4.69008
84,RRT*,5072,20949,0.00735152,3.93119
85,RRT,83,24064,0.00481445,6.06172
85,RRT*,5073,10385,0.00223863,4.94432
86,RRT,98,25003,0.00355058,6.74075
86,RRT*,5050,22723,0.00539794,3.65956
87,RRT,119,20364,0.0143458,5.07137
87,RRT*,5053,32768,0.00386395,4.12573
88,RRT,69,23258,0.00258245,5.08546
88,RRT*,5050,29079,0.00426303,4.3946
89,RRT,83,23509,0.00571596,6.02041
89,RRT*,5031,27983,0.0229278,0.753634
90,RRT,87,26057,0.00573021,4.9027
90,RRT*,5040,29456,0.00554144,3.56312
91,RRT,72,18572,0.00528289,4.40547
91,RRT*,5043,9703,0.00770955,4.78965
92,RRT,80,22980,0.00381635,7.25056
92,RRT*,5057,19857,0.00985049,3.97673
93,RRT,138,8038,0.00504983,5.07827
93,RRT*,5071,14695,0.00185135,5.31529
94,RRT,95,20075,0.00559489,5.37086
94,RRT*,5043,12863,0.0144211,1.74784
95,RRT,76,17736,0.00615394,5.42844
95,RRT*,5046,23515,0.00391284,3.73626
96,RRT,89,21301,0.00321535,4.28199
96,RRT*,5069,26078,0.00248827,4.82087
97,RRT,104,9038,0.00331076,6.93058
97,RRT*,5032,23259,0.0142877,0.854801
98,RRT,90,20142,0.0126967,8.16889
98,RRT*,5058,22155,0.0119041,5.37033
99,RRT,65,20499,0.00660459,5.67804
99,RRT*,5065,23319,0.00590852,3.66454
100,RRT,73,17918,0.0053668,5.74927
100,RRT*,5042,26914,0.0113979,4.06563
101,RRT,54,11426,0.0113828,1.66347
101,RRT*,5061,18105,0.0041989,5.79029
102,RRT,91,14582,0.00279891,4.75994
102,RRT*,5056,19452,0.00336009,5.11152
103,RRT,66,17779,0.00388455,5.8139
103,RRT*,5049,20454,0.00766062,4.32697
104,RRT,75,23571,0.00358359,5.31933
104,RRT*,5032,10597,0.0142788,1.78424
105,RRT,69,15651,0.00636352,4.94743
105,RRT*,5036,21009,0.00529515,4.28517
106,RRT,104,16129,0.00311692,4.60693
106,RRT*,5053,26022,0.00563871,4.14655
107,RRT,130,23207,0.00384114,7.69853
107,RRT*,5024,11294,0.0260852,1.02404
108,RRT,97,36511,0.00709809,5.21315
108,RRT*,5046,20611,0.00677956,5.24584
109,RRT,94,19419,0.00310733,5.53001
109,RRT*,5049,24419,0.00561472,3.8992
110,RRT,82,24438,0.00732935,5.97508
110,RRT*,5057,23172,0.0112855,3.6185
111,RRT,81,11514,0.00523505,6.07718
111,RRT*,5066,26974,0.00575821,5.4308
112,RRT,105,22844,0.00514815,6.40579
112,RRT*,5039,29619,0.010086,3.91301
113,RRT,70,33157,0.00395832,4.76609
113,RRT*,5050,24219,0.00297947,4.73718
114,RRT,105,25561,0.00228935,6.20527
114,RRT*,5052,16507,0.00558042,5.40255
115,RRT,89,7871,0.00333403,4.42403
115,RRT*,5057,28622,0.00540337,2.78613
116,RRT,82,25762,0.00490986,5.43564
116,RRT*,5048,24421,0.0031769,4.74628
117,RRT,60,26167,0.00435157,4.83982
117,RRT*,5060,24012,0.00187032,5.13392
118,RRT,126,24880,0.00361234,5.49029
