PairID,Algorithm,Time,Joint1_Position,Joint1_Velocity,Joint1_Acceleration,Joint2_Position,Joint2_Velocity,Joint2_Acceleration,Joint3_Position,Joint3_Velocity,Joint3_Acceleration,Joint4_Position,Joint4_Velocity,Joint4_Acceleration,Joint5_Position,Joint5_Velocity,Joint5_Acceleration,Joint6_Position,Joint6_Velocity,Joint6_Acceleration,Joint7_Position,Joint7_Velocity,Joint7_Acceleration
1,RRT,1,-0.596615,0.693738,-2.24364,1.55942,2.51972,-2.07534,-0.397048,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.99295e-12,9.18102e-12,-3.35399e-11,1.53194e-11,1.52309e-11,-5.25388e-12,1.76014e-11
1,RRT,1.1,-0.594018,0.688958,-2.22619,1.55146,2.5118,-2.07261,-0.406204,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-5.11509e-12,9.42856e-12,-3.44314e-11,1.5727e-11,1.56125e-11,-5.40138e-12,1.80937e-11
1,RRT,1.2,-0.591422,0.684178,-2.20873,1.54349,2.50388,-2.06988,-0.41536,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-5.11025e-12,9.43613e-12,-3.44169e-11,1.57348e-11,1.55922e-11,-5.39547e-12,1.80641e-11
1,RRT,1.3,-0.588825,0.679397,-2.19128,1.53552,2.49596,-2.06714,-0.424516,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-5.11801e-12,9.44863e-12,-3.4393e-11,1.57477e-11,1.56217e-11,-5.40146e-12,1.80784e-11
1,RRT,1.4,-0.586228,0.674617,-2.17383,1.52755,2.48804,-2.06441,-0.433672,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-5.1099e-12,9.42648e-12,-3.4346e-11,1.5773e-11,1.55864e-11,-5.3899e-12,1.81063e-11
1,RRT,1.5,-0.583631,0.669837,-2.15638,1.51958,2.48011,-2.06168,-0.442827,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-5.13175e-12,9.45322e-12,-3.45718e-11,1.58454e-11,1.56653e-11,-5.44686e-12,1.81862e-11
1,RRT,1.6,-0.581034,0.665056,-2.13892,1.51161,2.47219,-2.05894,-0.451983,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.45484e-12,1.01825e-11,-3.56387e-11,1.52737e-11,1.52737e-11,-5.72765e-12,1.78194e-11
1,RRT,1.7,-0.578437,0.660276,-2.12147,1.50364,2.46427,-2.05621,-0.461139,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-5.11945e-12,9.42959e-12,-3.44217e-11,1.57259e-11,1.56219e-11,-5.39417e-12,1.80573e-11
1,RRT,1.8,-0.57584,0.655496,-2.10402,1.49568,2.45635,-2.05347,-0.470295,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.93641e-12,9.08939e-12,-3.31902e-11,1.51462e-11,1.50619e-11,-5.19755e-12,1.74038e-11
1,RRT,1.9,-0.573243,0.650715,-2.08656,1.48771,2.44843,-2.05074,-0.479451,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.93596e-12,9.08771e-12,-3.31771e-11,1.51493e-11,1.50754e-11,-5.19891e-12,1.74189e-11
1,RRT,2,-0.570646,0.645935,-2.06911,1.47974,2.4405,-2.04801,-0.488607,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.93543e-12,9.08567e-12,-3.3202e-11,1.5153e-11,1.50714e-11,-5.20055e-12,1.74168e-11
1,RRT,2.1,-0.568049,0.641155,-2.05166,1.47177,2.43258,-2.04527,-0.497762,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.94046e-12,9.09455e-12,-3.31871e-11,1.51576e-11,1.50664e-11,-5.20259e-12,1.74141e-11
1,RRT,2.2,-0.565452,0.636374,-2.0342,1.4638,2.42466,-2.04254,-0.506918,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.93392e-12,9.07997e-12,-3.31684e-11,1.51376e-11,1.50601e-11,-5.1987e-12,1.74108e-11
1,RRT,2.3,-0.562855,0.631594,-2.01675,1.45583,2.41674,-2.03981,-0.516074,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.93283e-12,9.09071e-12,-3.32034e-11,1.51412e-11,1.50816e-11,-5.20108e-12,1.74065e-11
1,RRT,2.4,-0.560258,0.626814,-1.9993,1.44787,2.40881,-2.03707,-0.52523,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,-4.94013e-12,9.08773e-12,-3.31808e-11,1.51462e-11,1.50758e-11,-5.20431e-12,1.74358e-11
1,RRT,2.5,-0.557661,0.622033,-1.98185,1.4399,2.40089,-2.03434,-0.534386,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.68526e-12,-1.04883e-11,3.82285e-11,-1.74969e-11,-1.73499e-11,5.97933e-12,-2.00455e-11
1,RRT,2.6,-0.555064,0.617253,-1.96439,1.43193,2.39297,-2.03161,-0.543542,0.0259696,-0.0478033,0.17453,-0.0796849,-0.0792211,0.0273363,-0.0915584,5.67481e-12,-1.0464e-11,3.8182e-11,-1.74509e-11,-1.73197e-11,5.98643e-12,-2.00094e-11
