PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
1,RRT,101,18043,0.00203993,7.2876
1,RRT*,5052,25323,0.00243004,3.98059
2,RRT,56,13264,0.00792409,2.53672
2,RRT*,5050,10336,0.00516036,3.47153
3,RRT,53,23126,0.00329601,4.29077
3,RRT*,5069,23846,0.00427507,4.84713
4,RRT,45,26497,0.011138,1.43547
4,RRT*,5025,15236,0.0297752,0.459395
5,RRT,81,20964,0.00262851,4.76388
5,RRT*,5032,20915,0.00473528,3.80266
6,RRT,80,26545,0.00332569,4.56643
6,RRT*,5057,21460,0.0045592,4.10976
7,RRT,75,13472,0.0114299,4.30026
7,RRT*,5035,19204,0.00955398,3.71102
8,RRT,40,15955,0.0114408,3.58688
8,RRT*,5041,12082,0.00606096,2.74466
9,RRT,73,15231,0.00319172,5.30659
9,RRT*,5048,25318,0.00747508,4.87618
10,RRT,123,22140,0.00463248,5.70756
10,RRT*,5075,42989,0.0022215,5.47928
11,RRT,57,14226,0.00722215,2.92731
11,RRT*,5025,21267,0.0363382,0.711501
12,RRT,104,18594,0.00281191,4.55985
12,RRT*,5052,23407,0.00480397,4.72195
13,RRT,127,19555,0.00295331,8.25411
13,RRT*,5043,19965,0.00624014,2.99399
14,RRT,83,33881,0.00312774,4.10871
14,RRT*,5029,12208,0.00967349,2.59569
15,RRT,85,17713,0.00450323,4.87209
15,RRT*,5036,22014,0.00814624,3.454
16,RRT,106,18088,0.0069588,6.05274
16,RRT*,5047,21911,0.00734713,4.15138
17,RRT,83,16930,0.00550578,6.69741
17,RRT*,5061,23266,0.0071053,5.18078
18,RRT,98,16741,0.00520836,5.04997
18,RRT*,5052,20513,0.00474476,4.0723
19,RRT,74,14841,0.00463632,4.35503
19,RRT*,5047,16802,0.00549745,4.12994
20,RRT,119,21031,0.00296912,5.70467
20,RRT*,5053,26460,0.00555372,3.98116
21,RRT,151,37874,0.00274201,7.56554
21,RRT*,5085,11741,0.00226159,5.36145
22,RRT,78,19220,0.00673554,3.99677
22,RRT*,5066,18956,0.00655139,4.45158
23,RRT,93,19389,0.0042703,5.08398
23,RRT*,5051,21623,0.00405721,4.16848
24,RRT,96,21485,0.00218499,7.13159
24,RRT*,5052,23156,0.00805244,4.572
25,RRT,130,22203,0.00828822,7.10647
25,RRT*,5052,21205,0.00469001,4.66298
26,RRT,51,17446,0.00594708,3.98504
26,RRT*,5051,25660,0.00519261,4.19238
27,RRT,68,19776,0.00285047,4.26122
27,RRT*,5052,20565,0.00875156,2.55751
28,RRT,121,24154,0.00297211,9.14767
28,RRT*,5028,11341,0.0213527,1.75288
29,RRT,81,17514,0.00893951,2.24485
29,RRT*,5063,26165,0.00297671,4.82391
30,RRT,118,14796,0.00331358,5.73008
30,RRT*,5056,20657,0.00244526,4.08071
31,RRT,101,19331,0.00236109,5.43722
31,RRT*,5049,22473,0.00372513,4.12593
32,RRT,95,24397,0.00464838,6.93655
32,RRT*,5028,15151,0.0190047,1.55671
33,RRT,96,19741,0.00574727,6.3328
33,RRT*,5044,8687,0.0059684,3.32299
34,RRT,81,39003,0.00364839,5.18264
34,RRT*,5054,25311,0.00669422,4.76069
35,RRT,77,15923,0.00312578,4.71594
35,RRT*,5044,16953,0.00716711,3.87633
36,RRT,150,13644,0.0024327,6.41882
36,RRT*,5069,30751,0.0034865,4.323
37,RRT,101,24220,0.00420357,7.01626
37,RRT*,5053,26081,0.00432906,4.23971
38,RRT,112,11423,0.00360452,4.87462
38,RRT*,5045,20898,0.00575079,2.86137
39,RRT,73,23459,0.00533784,5.30304
39,RRT*,5069,27693,0.00312088,5.94472
40,RRT,72,15054,0.00600613,4.88917
40,RRT*,5040,23785,0.00919881,4.71295
41,RRT,83,25805,0.00367707,7.8268
41,RRT*,5043,26015,0.00756253,4.54274
42,RRT,68,21936,0.00889148,5.52989
42,RRT*,5024,21644,0.0196349,1.06254
43,RRT,75,23589,0.00325792,5.09862
43,RRT*,5079,19749,0.00394235,5.03218
44,RRT,51,19825,0.00515303,3.60158
44,RRT*,5025,11845,0.0144001,1.8026
45,RRT,78,20698,0.0118872,5.23997
45,RRT*,5025,9953,0.0218175,1.37794
46,RRT,85,17739,0.00306111,4.56033
46,RRT*,5046,18107,0.00798084,4.1883
47,RRT,41,23626,0.00581946,3.42604
47,RRT*,5038,16548,0.0134983,1.4083
48,RRT,82,16885,0.00647085,6.83936
48,RRT*,5056,21047,0.00619166,3.08866
49,RRT,60,24832,0.00213768,4.59941
49,RRT*,5060,22125,0.00774875,5.10423
50,RRT,82,15080,0.0033649,6.11287
50,RRT*,5065,21953,0.0026013,5.85229
51,RRT,76,26494,0.0035473,6.75461
51,RRT*,5069,20602,0.00925327,4.43338
52,RRT,131,34861,0.00272156,8.28751
52,RRT*,5050,21358,0.00799833,3.25482
53,RRT,56,21599,0.00749076,3.15598
53,RRT*,5033,28676,0.00932061,2.72334
54,RRT,109,20057,0.00362133,5.28404
54,RRT*,5054,24185,0.00221877,4.10425
55,RRT,75,5062,0.0105283,5.26736
55,RRT*,5032,24562,0.0105625,1.51715
56,RRT,88,34179,0.0021722,5.60118
56,RRT*,5039,23266,0.0147293,3.72758
57,RRT,49,5446,0.00985383,3.08742
57,RRT*,5033,15997,0.0139166,1.49848
58,RRT,107,21263,0.00314928,5.20971
58,RRT*,5103,11640,0.00263948,5.59424
59,RRT,112,18035,0.00505713,6.95771
59,RRT*,5062,19697,0.00767159,4.43342
60,RRT,85,29371,0.00339369,5.98567
60,RRT*,5053,21621,0.00494688,3.81745
61,RRT,124,23659,0.00432555,7.35751
61,RRT*,5031,15888,0.0131869,1.34993
62,RRT,73,19476,0.00557128,5.23844
62,RRT*,5055,25822,0.00525974,4.08649
63,RRT,110,22576,0.00532784,4.85708
63,RRT*,5046,27573,0.00336494,4.82891
64,RRT,120,20348,0.00342611,7.57078
64,RRT*,5028,11789,0.0270005,1.75507
65,RRT,71,13077,0.00732449,2.86651
65,RRT*,5028,11703,0.0123573,1.42154
66,RRT,95,14789,0.0034634,4.77114
66,RRT*,5041,12549,0.0119512,1.27348
67,RRT,53,14345,0.0101156,4.02909
67,RRT*,5055,24306,0.00675187,4.0929
68,RRT,116,33082,0.0040439,7.08943
68,RRT*,5052,14000,0.00658396,3.08427
69,RRT,111,12660,0.00404498,6.3772
69,RRT*,5050,17694,0.0066785,3.99755
70,RRT,100,27925,0.00731918,6.95412
70,RRT*,5047,19770,0.00301948,4.28512
71,RRT,68,25846,0.00283471,5.50064
71,RRT*,5045,28321,0.00670489,4.34636
72,RRT,91,20098,0.00250157,6.10363
72,RRT*,5034,25110,0.0102052,2.11119
73,RRT,94,26801,0.00451763,7.06857
73,RRT*,5034,21357,0.0225228,1.36651
74,RRT,42,19716,0.0137624,1.65872
74,RRT*,5070,19904,0.00191039,5.93974
75,RRT,66,16973,0.00845398,4.72944
75,RRT*,5056,25163,0.00414715,4.35155
76,RRT,69,24189,0.00344398,5.35192
76,RRT*,5050,29981,0.00588728,3.9536
77,RRT,125,19592,0.00524437,5.66996
77,RRT*,5057,20159,0.0041426,4.4884
78,RRT,52,15774,0.00712697,5.05431
78,RRT*,5055,25513,0.00591336,4.20236
79,RRT,79,11503,0.00747435,4.38228
79,RRT*,5084,20008,0.00550972,4.99751
80,RRT,76,13964,0.00449927,4.65839
80,RRT*,5039,13851,0.0123959,3.58143
81,RRT,103,26818,0.00388399,7.22465
81,RRT*,5036,13785,0.0167577,1.68605
82,RRT,88,18335,0.00600555,5.98452
82,RRT*,5042,11937,0.00701172,3.20206
83,RRT,71,19781,0.0092286,5.13462
83,RRT*,5041,20774,0.0125753,4.78313
84,RRT,87,23639,0.00531228,5.71893
84,RRT*,5044,22272,0.00689013,4.11685
85,RRT,76,15785,0.00511434,7.11658
85,RRT*,5054,31584,0.00314178,4.73862
86,RRT,94,18407,0.00271781,5.85923
86,RRT*,5066,18247,0.00286009,4.42317
87,RRT,101,22381,0.00587773,6.01701
87,RRT*,5038,12952,0.010012,4.54295
88,RRT,90,19332,0.00382117,5.60119
88,RRT*,5067,24365,0.00793555,5.18391
89,RRT,86,19855,0.00494882,4.76145
89,RRT*,5058,24966,0.00689065,5.3139
90,RRT,124,23858,0.00438365,6.38594
90,RRT*,5033,14241,0.00553196,3.39316
91,RRT,73,26000,0.00307498,4.21332
91,RRT*,5032,25314,0.0120242,3.09815
92,RRT,83,25645,0.00292429,5.67129
92,RRT*,5063,26765,0.00257151,4.44838
93,RRT,71,20647,0.00232806,4.55579
93,RRT*,5051,21407,0.00339836,4.66962
94,RRT,102,18377,0.00454057,5.6873
94,RRT*,5066,25659,0.00363302,4.65477
95,RRT,128,36330,0.00233309,7.03565
95,RRT*,5056,27922,0.00385007,4.0208
96,RRT,89,16798,0.00607031,5.52599
96,RRT*,5056,24992,0.00298441,3.92112
97,RRT,56,20796,0.0177086,0.768134
97,RRT*,5065,27062,0.0107205,4.98584
98,RRT,104,21749,0.00427538,6.74527
98,RRT*,5042,18504,0.00446712,4.6111
99,RRT,92,19740,0.00741851,6.75088
99,RRT*,5061,23931,0.00274645,4.35684
100,RRT,73,18224,0.00539982,8.40639
100,RRT*,5064,20665,0.00656276,4.48345
101,RRT,112,20625,0.00753387,5.81962
101,RRT*,5059,24709,0.00380213,4.9204
102,RRT,80,18441,0.00576587,5.50599
102,RRT*,5057,22456,0.00315242,4.23427
103,RRT,83,14876,0.00263712,4.97833
103,RRT*,5055,19955,0.00860927,3.5931
104,RRT,135,18533,0.00223041,6.13023
104,RRT*,5042,20804,0.00360417,3.26643
105,RRT,69,14281,0.00458805,4.73
105,RRT*,5072,28939,0.00273515,4.64865
106,RRT,73,14364,0.00713463,4.94258
106,RRT*,5047,19863,0.0061533,2.4652
107,RRT,37,37537,0.0366718,0.516758
107,RRT*,5042,17259,0.00512137,3.90212
108,RRT,105,22257,0.00735505,5.9755
108,RRT*,5053,27499,0.00483817,3.92854
109,RRT,85,21143,0.00533062,3.1896
109,RRT*,5071,14589,0.00214565,4.69333
110,RRT,80,20620,0.00432936,4.5952
110,RRT*,5076,31124,0.00215063,4.9427
111,RRT,88,10138,0.00350634,5.93456
111,RRT*,5055,27577,0.00490577,5.14482
112,RRT,78,19285,0.00427999,5.30516
112,RRT*,5041,21108,0.0082864,3.14231
113,RRT,84,22853,0.00283556,5.12469
113,RRT*,5045,23634,0.00855487,5.27509
114,RRT,68,15479,0.00404292,4.62518
114,RRT*,5061,17905,0.00583204,4.33067
115,RRT,94,18284,0.00292746,5.52898
115,RRT*,5054,21413,0.00417047,4.44689
116,RRT,100,20134,0.00368691,8.93831
116,RRT*,5061,22961,0.00508601,3.23754
117,RRT,80,11760,0.00206445,4.78973
117,RRT*,5069,25713,0.00239891,5.53042
118,RRT,91,23237,0.00283863,5.97415
118,RRT*,5062,29072,0.0027503,4.77006
119,RRT,87,14951,0.002137,6.91983
119,RRT*,5057,20210,0.00824222,4.67121
120,RRT,52,21120,0.00323473,3.66936
120,RRT*,5052,22624,0.00783707,4.09173
121,RRT,69,22139,0.00291898,4.48633
121,RRT*,5074,25295,0.00540985,4.08619
122,RRT,100,25596,0.00422951,6.88062
122,RRT*,5073,29117,0.00325289,5.67728
123,RRT,97,24061,0.00357218,5.95006
123,RRT*,5063,27267,0.00440136,4.35123
124,RRT,102,21093,0.00229893,7.06857
124,RRT*,5047,23803,0.00844372,4.69262
125,RRT,66,17325,0.00311663,6.15866
125,RRT*,5042,24361,0.0033834,4.57235
126,RRT,138,23348,0.0149251,5.89113
126,RRT*,5028,14897,0.0124993,1.90058
127,RRT,81,14709,0.00887583,6.78206
127,RRT*,5079,27161,0.00859435,5.89597
128,RRT,129,22516,0.00286559,7.5598
128,RRT*,5042,41235,0.00301446,4.73666
129,RRT,80,24080,0.00321215,5.79312
129,RRT*,5062,15196,0.00410065,6.43064
130,RRT,114,28041,0.00317809,7.20206
130,RRT*,5043,19058,0.00530668,5.72027
131,RRT,123,21369,0.00374824,7.11405
131,RRT*,5052,28824,0.00383854,4.36201
132,RRT,93,20177,0.00436988,5.31481
132,RRT*,5032,25021,0.0110913,1.88546
133,RRT,68,21943,0.00931274,5.32055
133,RRT*,5044,24059,0.00428163,3.08143
134,RRT,79,19745,0.00583698,6.23443
134,RRT*,5059,22758,0.00361649,4.3894
135,RRT,70,16852,0.00300004,4.24229
135,RRT*,5057,25067,0.00358046,4.28842
136,RRT,126,24500,0.00451871,4.80963
136,RRT*,5052,30630,0.00292997,4.60294
137,RRT,88,23258,0.00234099,4.94755
137,RRT*,5042,11142,0.00676107,3.022
138,RRT,93,17519,0.00382201,6.51259
138,RRT*,5060,26358,0.00463156,4.35909
139,RRT,54,20592,0.00894476,5.85503
139,RRT*,5028,13594,0.0137337,1.41789
140,RRT,64,13886,0.00541265,4.33234
140,RRT*,5059,23863,0.00268746,3.60694
141,RRT,66,5760,0.00909293,4.82776
141,RRT*,5030,10697,0.0175403,1.09959
142,RRT,65,20288,0.00509259,5.28506
142,RRT*,5035,10389,0.00872216,1.9758
143,RRT,75,15128,0.0055914,6.12969
143,RRT*,5052,24374,0.0100794,3.97096
144,RRT,112,23435,0.00372768,7.33782
144,RRT*,5049,28105,0.0035741,3.82138
145,RRT,85,15448,0.00288168,4.33888
145,RRT*,5028,11740,0.0196914,1.90552
146,RRT,81,24873,0.00823219,4.96939
146,RRT*,5049,17000,0.00259711,4.45267
147,RRT,76,21332,0.00633625,5.87295
147,RRT*,5046,26214,0.0035877,4.48627
148,RRT,89,15577,0.00281787,5.24311
148,RRT*,5043,25070,0.00770054,5.04978
149,RRT,64,14773,0.0114386,4.9129
149,RRT*,5033,17193,0.00773463,2.25504
150,RRT,96,21525,0.00388221,7.09983
150,RRT*,5091,15358,0.00352858,5.12154
151,RRT,100,15365,0.00255176,5.7419
151,RRT*,5031,21657,0.0217542,0.920741
152,RRT,116,22091,0.00520769,6.32093
152,RRT*,5064,24627,0.00320662,5.65854
153,RRT,72,33479,0.00475264,7.40916
153,RRT*,5034,20051,0.0253581,1.59726
154,RRT,96,22558,0.0078944,5.74229
154,RRT*,5069,25258,0.00290176,5.44876
155,RRT,56,21652,0.00665173,2.95503
155,RRT*,5060,27062,0.0138624,5.13619
156,RRT,98,21127,0.0029359,5.08325
156,RRT*,5036,25762,0.0133503,2.13363
157,RRT,81,25230,0.00276679,5.65581
157,RRT*,5060,25562,0.00293183,4.89695
158,RRT,145,21306,0.00423965,7.89966
158,RRT*,5022,27560,0.0336133,0.377186
159,RRT,90,23607,0.00690981,5.50738
159,RRT*,5063,26325,0.00683682,4.39301
160,RRT,55,19433,0.00657807,2.67611
160,RRT*,5058,21105,0.00622955,4.63309
161,RRT,73,17282,0.0114587,4.38458
161,RRT*,5039,16140,0.00858188,2.06147
162,RRT,65,15679,0.00534657,6.71552
162,RRT*,5045,22107,0.00381037,3.73329
163,RRT,76,16168,0.00330335,5.21182
163,RRT*,5047,24510,0.016174,1.31527
