PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
1,RRT,39,15052,0.00597275,5.18312
1,RRT*,5034,12038,0.00492734,4.01777
2,RRT,27,9480,0.00310524,4.25542
2,RRT*,5029,27135,0.00462638,5.4643
3,RRT,35,20759,0.00593671,6.14854
3,RRT*,5033,26640,0.00386843,5.37983
4,RRT,44,17945,0.0143312,4.84762
4,RRT*,5024,27234,0.00506295,4.64281
5,RRT,37,34921,0.00535573,5.57632
5,RRT*,5023,20782,0.00512079,4.3132
6,RRT,28,20244,0.0178871,1.44446
6,RRT*,5020,18075,0.0194665,3.35487
7,RRT,47,34600,0.00970858,6.70151
7,RRT*,5020,23680,0.00573681,3.69021
8,RRT,54,18446,0.00297035,7.41088
8,RRT*,5043,23534,0.00353046,5.03078
9,RRT,41,22550,0.00387334,3.06729
9,RRT*,5015,11326,0.0176835,1.45464
10,RRT,45,24403,0.00683984,6.00713
10,RRT*,5020,24179,0.00958115,3.7977
11,RRT,26,15691,0.00516552,2.56305
11,RRT*,5020,11382,0.00821454,3.25048
12,RRT,40,25453,0.00309621,5.79181
12,RRT*,5024,21540,0.00890459,4.9524
13,RRT,35,18750,0.00895105,1.69033
13,RRT*,5019,18278,0.00766873,2.56658
14,RRT,27,19745,0.00328091,3.32855
14,RRT*,5023,18628,0.00550452,4.4112
15,RRT,23,19095,0.00999004,5.27104
15,RRT*,5021,19131,0.00496207,3.47607
16,RRT,50,15508,0.00522555,5.06977
16,RRT*,5016,12724,0.0100579,2.2817
17,RRT,38,14608,0.004665,6.40579
17,RRT*,5017,10622,0.0100976,2.5755
18,RRT,58,19737,0.00251746,5.74532
18,RRT*,5024,28685,0.0040491,4.58128
19,RRT,36,25199,0.00417402,4.41158
19,RRT*,5026,24681,0.00446242,4.51515
20,RRT,40,12340,0.00421008,5.62461
20,RRT*,5014,8120,0.0241062,1.00954
21,RRT,64,22597,0.00272232,7.74132
21,RRT*,5014,24384,0.012145,1.76076
22,RRT,30,22037,0.00269198,4.30636
22,RRT*,5028,25537,0.00682203,4.09835
23,RRT,33,21134,0.00223349,5.49748
23,RRT*,5041,18229,0.0142624,5.1435
24,RRT,53,13643,0.00487943,5.98055
24,RRT*,5042,24229,0.00208998,5.88813
25,RRT,36,23141,0.00514078,5.16775
25,RRT*,5029,28136,0.00385491,4.20667
26,RRT,64,40278,0.00269204,6.67606
26,RRT*,5026,20332,0.00478227,3.94544
27,RRT,32,31858,0.00785481,4.73094
27,RRT*,5022,28939,0.00529154,3.83076
28,RRT,41,14996,0.00369299,6.73503
28,RRT*,5036,10671,0.00562748,2.54334
29,RRT,33,31258,0.00260277,4.42084
29,RRT*,5033,9379,0.0027238,5.22165
30,RRT,38,24455,0.0079203,5.48661
30,RRT*,5023,26833,0.00959908,5.19841
31,RRT,49,18996,0.0139191,6.45023
31,RRT*,5023,12623,0.0107805,3.89795
32,RRT,45,13848,0.00505345,4.50872
32,RRT*,5039,20884,0.00375473,5.01261
33,RRT,34,20149,0.00517621,4.31563
33,RRT*,5026,15224,0.00458469,4.16026
34,RRT,35,22149,0.00718808,2.64535
34,RRT*,5025,12077,0.00664613,2.64681
35,RRT,31,16042,0.00652728,3.77883
35,RRT*,5029,22555,0.0034875,3.95933
36,RRT,51,15519,0.0024868,6.26733
36,RRT*,5029,16929,0.00433135,5.82596
37,RRT,38,20747,0.00361132,5.67354
37,RRT*,5041,22433,0.00823456,5.04953
38,RRT,67,34562,0.00291342,8.39367
38,RRT*,5021,20537,0.00810813,4.32468
39,RRT,43,23002,0.00374218,6.79526
39,RRT*,5033,27034,0.00253791,4.77341
40,RRT,48,37838,0.00259879,6.71804
40,RRT*,5043,11875,0.00444052,4.22777
41,RRT,41,18544,0.00443764,6.06088
41,RRT*,5019,14476,0.00460478,3.1332
42,RRT,35,20195,0.00217287,4.91889
42,RRT*,5024,19882,0.00852474,4.32398
43,RRT,31,19899,0.00326227,4.48438
43,RRT*,5020,20727,0.00615027,3.20525
44,RRT,23,15943,0.00307587,4.08861
44,RRT*,5015,20731,0.0142284,1.05428
45,RRT,39,14785,0.00487056,6.87904
45,RRT*,5024,23783,0.00493788,3.58796
46,RRT,47,24662,0.00580864,7.67355
46,RRT*,5051,24935,0.00260905,4.22089
47,RRT,33,13884,0.002817,4.78624
47,RRT*,5023,8722,0.0215737,1.67782
48,RRT,49,30975,0.00329708,5.389
48,RRT*,5034,25484,0.00275659,4.69181
49,RRT,42,24300,0.027131,5.75021
49,RRT*,5028,24934,0.00273757,4.92555
50,RRT,46,23608,0.0038195,4.85243
50,RRT*,5022,22593,0.00618538,3.78864
51,RRT,37,14538,0.00471411,4.34733
51,RRT*,5020,18228,0.00613517,3.62969
52,RRT,34,20818,0.00356964,4.73614
52,RRT*,5017,9772,0.0141236,1.95944
53,RRT,33,20787,0.00270972,4.12758
53,RRT*,5021,24081,0.00266341,3.77155
54,RRT,50,22449,0.00225729,5.07484
54,RRT*,5026,23631,0.00673215,4.51944
55,RRT,36,30472,0.00433002,4.87463
55,RRT*,5029,26138,0.00215216,4.4004
56,RRT,38,20353,0.00473295,6.25792
56,RRT*,5028,29134,0.00437193,4.86018
57,RRT,23,17869,0.0128464,1.9296
57,RRT*,5033,43746,0.00195747,5.71086
58,RRT,36,22158,0.0029053,5.11862
58,RRT*,5025,13072,0.00371496,4.71749
59,RRT,36,36922,0.00396387,4.59229
59,RRT*,5026,28744,0.00813442,4.95896
60,RRT,45,22453,0.00393212,6.62927
60,RRT*,5028,13723,0.00515654,5.37693
61,RRT,48,24152,0.0106124,6.55154
61,RRT*,5031,24532,0.012105,6.15954
62,RRT,27,17492,0.00503269,5.29383
62,RRT*,5025,22229,0.00522723,3.97684
63,RRT,35,17245,0.00436925,4.24743
63,RRT*,5016,8020,0.00787331,1.96175
64,RRT,38,23858,0.00475929,5.30224
64,RRT*,5031,23433,0.00533152,4.62264
65,RRT,35,20171,0.00879317,4.84849
65,RRT*,5031,23781,0.0020233,5.54939
66,RRT,46,21796,0.00232117,5.46731
66,RRT*,5026,42950,0.00281127,4.5534
67,RRT,44,38418,0.00271037,6.00621
67,RRT*,5023,22632,0.00512572,3.17663
68,RRT,31,22061,0.00429928,4.3703
68,RRT*,5028,10233,0.00428639,5.28693
69,RRT,33,19648,0.00724384,4.03948
69,RRT*,5032,20578,0.00494481,3.82495
70,RRT,40,14390,0.00526832,6.04843
70,RRT*,5018,17528,0.0063332,4.01003
71,RRT,50,17387,0.00296166,7.66698
71,RRT*,5028,27837,0.0041564,3.95667
72,RRT,22,19901,0.00328355,3.72625
72,RRT*,5025,22778,0.00482405,4.23416
73,RRT,45,24141,0.00252779,5.40406
73,RRT*,5032,23335,0.00477279,4.84812
74,RRT,27,21787,0.00840681,5.31495
74,RRT*,5022,7686,0.0316573,0.354277
75,RRT,43,24602,0.00307271,5.80574
75,RRT*,5015,9372,0.0305007,1.35452
76,RRT,42,26550,0.00319657,5.97579
76,RRT*,5027,24483,0.00369292,5.55861
77,RRT,26,25212,0.00348311,4.95002
77,RRT*,5025,26034,0.00448561,4.03234
78,RRT,25,13996,0.00364154,5.23719
78,RRT*,5024,25886,0.00235758,3.62891
79,RRT,47,38375,0.00366624,5.90178
79,RRT*,5017,14374,0.00822013,1.89555
80,RRT,40,16403,0.0080558,4.97132
80,RRT*,5024,21530,0.0078326,4.53191
81,RRT,29,33563,0.00944221,4.66188
81,RRT*,5025,19042,0.00823572,3.34703
82,RRT,39,24060,0.00365288,7.21934
82,RRT*,5013,11121,0.0286789,1.32853
83,RRT,40,20998,0.00282486,6.3563
83,RRT*,5026,21750,0.00760781,4.28766
84,RRT,45,19396,0.00333738,5.44113
84,RRT*,5033,28894,0.0027757,5.0059
85,RRT,45,19444,0.00708278,6.06678
85,RRT*,5023,20631,0.00504071,3.85429
86,RRT,45,14133,0.00437553,7.01744
86,RRT*,5040,25643,0.00290764,4.33272
87,RRT,37,25759,0.00638609,5.92822
87,RRT*,5024,11771,0.00744638,5.34276
88,RRT,36,24452,0.00273514,6.38646
88,RRT*,5028,26735,0.00468746,4.78378
89,RRT,57,22613,0.0139439,7.48342
89,RRT*,5014,9977,0.0275072,1.46903
90,RRT,53,37019,0.00271822,7.09692
90,RRT*,5024,23133,0.00919003,4.09875
91,RRT,40,25142,0.0127551,4.75664
91,RRT*,5020,17529,0.00516851,3.72285
92,RRT,40,15483,0.00539685,5.5424
92,RRT*,5019,10971,0.00656891,2.33478
93,RRT,26,13130,0.00913437,5.61744
93,RRT*,5016,18528,0.00871644,2.52543
94,RRT,36,23993,0.00361833,4.91265
94,RRT*,5021,15076,0.00706371,3.02358
95,RRT,38,19244,0.00293582,3.90153
95,RRT*,5029,23334,0.0053868,5.11306
96,RRT,37,18155,0.00355371,4.31828
96,RRT*,5036,23480,0.00567925,4.06429
97,RRT,35,22907,0.00622191,2.06602
97,RRT*,5019,11144,0.00629691,2.09019
98,RRT,37,18212,0.0037895,4.75882
98,RRT*,5030,26733,0.00273201,4.85837
99,RRT,41,20851,0.00589081,6.88384
99,RRT*,5028,22332,0.00361063,4.33152
100,RRT,42,25349,0.00216716,4.38846
100,RRT*,5027,20633,0.00577878,5.25485
101,RRT,46,32317,0.00544046,7.0643
101,RRT*,5017,18327,0.0108563,2.37425
102,RRT,25,21841,0.00726228,4.92675
102,RRT*,5022,23739,0.00496441,3.88046
103,RRT,33,18544,0.00954662,4.71738
103,RRT*,5018,18129,0.0159229,2.31819
104,RRT,40,21137,0.00451187,4.68249
104,RRT*,5030,27433,0.00224702,4.43322
105,RRT,39,18037,0.00653066,6.45372
105,RRT*,5033,22232,0.00213137,5.89777
106,RRT,31,15758,0.0117467,4.45068
106,RRT*,5029,15374,0.00187409,4.93281
107,RRT,34,21595,0.00453028,4.99988
107,RRT*,5023,24880,0.00408065,3.26155
108,RRT,45,23458,0.00374626,5.53773
108,RRT*,5032,24830,0.00616544,4.27985
109,RRT,37,17241,0.0040122,3.43498
109,RRT*,5027,22891,0.00428933,5.50628
110,RRT,21,17986,0.00711369,4.32138
110,RRT*,5026,22178,0.0056854,3.25241
111,RRT,41,13287,0.00490852,6.87437
111,RRT*,5026,25093,0.00348088,4.18196
112,RRT,40,21145,0.00493641,8.41402
112,RRT*,5035,24951,0.00274479,4.90319
113,RRT,38,23200,0.00686542,4.35734
113,RRT*,5026,43994,0.00372549,4.83756
114,RRT,50,12597,0.00582158,5.39112
114,RRT*,5020,18542,0.00550249,3.57934
115,RRT,32,18637,0.00486333,4.78571
115,RRT*,5019,23281,0.00537731,4.11076
116,RRT,46,19131,0.00383037,5.09153
116,RRT*,5025,21531,0.00685856,4.02384
117,RRT,49,17191,0.00537983,6.47183
117,RRT*,5025,23637,0.00359026,4.55104
118,RRT,44,36570,0.00587491,6.72876
118,RRT*,5021,26087,0.00913372,4.25261
119,RRT,48,18635,0.00500183,5.04735
119,RRT*,5036,24531,0.00568862,4.80381
120,RRT,45,20005,0.00259435,4.49553
120,RRT*,5029,21036,0.00826885,5.15156
121,RRT,51,18999,0.00361858,7.64374
121,RRT*,5023,23579,0.00520694,4.172
122,RRT,67,24251,0.00215763,7.47889
122,RRT*,5026,22930,0.0102499,4.62547
123,RRT,58,16433,0.00252546,5.7136
123,RRT*,5034,10572,0.00626959,3.40827
124,RRT,33,27352,0.00295648,4.73621
124,RRT*,5025,27333,0.00514474,4.37863
125,RRT,61,16052,0.00285703,7.41866
125,RRT*,5022,20532,0.00306384,3.81413
126,RRT,38,10032,0.00543229,5.66923
126,RRT*,5024,16879,0.0130894,3.25788
127,RRT,49,16198,0.00255302,6.41041
127,RRT*,5015,14874,0.0167888,1.19618
128,RRT,38,20217,0.00425042,4.97512
128,RRT*,5024,17027,0.00461866,4.11162
129,RRT,32,32525,0.00347643,4.13839
129,RRT*,5027,21732,0.00375636,4.56486
130,RRT,34,14888,0.00453995,4.43439
130,RRT*,5018,20687,0.00623064,3.065
131,RRT,41,26748,0.00344463,5.17336
131,RRT*,5026,24381,0.00321647,4.27225
132,RRT,44,21451,0.00420685,4.28119
132,RRT*,5040,22941,0.00488485,8.32935
133,RRT,36,18403,0.00312753,4.52122
133,RRT*,5026,18929,0.00647652,4.01611
134,RRT,58,23302,0.00503783,4.92269
134,RRT*,5028,26932,0.00327547,4.39144
135,RRT,47,16144,0.00522313,6.90441
135,RRT*,5022,19530,0.00743084,4.7326
136,RRT,47,18549,0.00905884,5.3198
136,RRT*,5028,22530,0.00695107,4.12492
137,RRT,42,24355,0.00624339,7.4832
137,RRT*,5025,23934,0.00320721,3.83812
138,RRT,38,13538,0.00436783,3.7437
138,RRT*,5029,10329,0.00466449,4.465
139,RRT,50,31713,0.00274038,6.27619
139,RRT*,5022,25836,0.01077,3.44187
140,RRT,70,8827,0.00406551,8.20657
140,RRT*,5017,29546,0.00819533,2.32318
141,RRT,44,22207,0.00514518,6.81381
141,RRT*,5027,21834,0.00250276,4.59503
142,RRT,40,22961,0.00281317,5.5885
142,RRT*,5026,21129,0.00491824,4.7807
143,RRT,40,13390,0.00320425,5.71189
143,RRT*,5015,12823,0.0251439,0.98968
144,RRT,36,15696,0.00418254,5.22604
144,RRT*,5018,21331,0.00616741,3.59667
145,RRT,55,20317,0.00609851,8.13036
145,RRT*,5029,28088,0.00457177,4.39717
146,RRT,55,21810,0.021674,4.74238
146,RRT*,5035,19985,0.00789465,6.04658
147,RRT,34,16703,0.00535617,5.65132
147,RRT*,5058,28686,0.00675276,5.13717
148,RRT,67,20396,0.0147982,4.85515
148,RRT*,5033,10972,0.0030476,5.14545
149,RRT,55,24913,0.00257047,6.56001
